"ID"	"ORF"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"11137_at"	11137	-0.0689129862000026	9.4179158536	-1.00552333323173	0.325837909797515	0.707674438816323	-5.99078432333891
"9453_at"	9453	-0.0376154728000015	7.8985929016	-1.00532893271398	0.325929341689817	0.707675420318316	-5.99097512070685
"9754_at"	9754	0.0555133879000014	5.15901595825	1.00530497529885	0.325940610755153	0.707675420318316	-5.99099863176068
"1649_at"	1649	-0.121773778100007	10.26258960625	-1.00524656071129	0.32596808888847	0.707675420318316	-5.99105595586741
"27301_at"	27301	-0.0754520877000004	8.82484310195	-1.00519514044419	0.325992278238788	0.707675420318316	-5.99110641372021
"27120_at"	27120	0.0964253226	5.2978329715	1.00511661064758	0.326029222986069	0.707675420318316	-5.99118346918036
"29937_at"	29937	-0.0511198352000015	10.0954734478	-1.00492301843382	0.326120311890345	0.707790267166366	-5.9913734034997
"7871_at"	7871	0.0490913395999995	7.7422957073	1.00479779315061	0.326179242258737	0.7078353005074	-5.99149624497466
"79906_at"	79906	0.0496025470000019	6.1205415905	1.00459867769385	0.326272960222512	0.707955806362963	-5.9916915414113
"646813_at"	646813	-0.0562885327999996	3.8072685918	-1.00392597282875	0.326589721820047	0.708539742648487	-5.99235108385352
"222545_at"	222545	0.0619218703	4.30748513015	1.00378480899712	0.326656219849459	0.708539742648487	-5.99248943467862
"5683_at"	5683	0.0367394109999957	11.5190118385	1.0037643224471	0.3266658712289	0.708539742648487	-5.99250951151976
"100129827_at"	100129827	-0.0665612458000018	7.16506615	-1.00370259596933	0.326694952271388	0.708539742648487	-5.99257000128446
"11238_at"	11238	0.0487781752999989	6.02424597065	1.00341196636914	0.326831900079821	0.708753842037642	-5.99285476260414
"79723_at"	79723	-0.0530636242	6.0771081454	-1.00324099861958	0.326912480585041	0.708845669890769	-5.99302224324386
"26103_at"	26103	0.0608645236000003	4.764828307	1.0029334636758	0.327057462712985	0.70907710223787	-5.99332344035301
"79758_at"	79758	-0.0607137958000017	7.0059463753	-1.00261549567812	0.327207410341203	0.709085289376088	-5.99363476729859
"142910_at"	142910	0.0549158358999984	4.05574777455	1.0025998021194	0.327214812361245	0.709085289376088	-5.99365013076054
"10773_at"	10773	-0.0429590886000017	7.2941108984	-1.00255169413917	0.327237503684911	0.709085289376088	-5.99369722548084
"162968_at"	162968	0.0619327612999987	5.29603186315	1.00251600537809	0.327254337882383	0.709085289376088	-5.99373216123161
"161291_at"	161291	0.0438387308999983	7.12886670295	1.0025142781765	0.327255152609396	0.709085289376088	-5.99373385196167
"135250_at"	135250	0.182411718999999	6.9875307897	1.00242125039987	0.32729903622	0.709085289376088	-5.9938249114572
"342898_at"	342898	0.054657246499997	4.82088540975	1.00235499388007	0.327330293630495	0.709085289376088	-5.99388976144077
"55630_at"	55630	-0.112549371399998	9.5113389836	-1.00227671504786	0.327367225404279	0.709085289376088	-5.99396637350073
"50509_at"	50509	0.0771727912999998	5.85125231965	1.00215615206476	0.327424112410771	0.709125656540102	-5.99408435873132
"4361_at"	4361	-0.0470634504000005	5.5365441722	-1.00183569662215	0.327575351027848	0.709362760219351	-5.99439789983494
"728299_at"	728299	0.0763404115999977	4.6575021082	1.00176204717023	0.327610116672856	0.709362760219351	-5.99446994730549
"2840_at"	2840	0.0430121706	4.7352493157	1.00153793024532	0.32771592508273	0.709456512347755	-5.99468915975836
"11258_at"	11258	-0.0422758570000052	10.4042958745	-1.00150822401748	0.327729951547881	0.709456512347755	-5.99471821256342
